1;2022-01-01;1;2;32,25,18,18;20,42,18,26;true;true
2;2022-01-02;1;3;36,14,41,12;15,38,22,13;true;true
3;2022-01-03;1;4;28,19,38,29;24,44,31,16;true;true
4;2022-01-04;1;5;43,30,20,14;19,33,12,37;true;true
5;2022-01-05;1;6;27,16,36,40;14,21,47,30;true;true
6;2022-01-06;1;7;45,21,34,13;17,46,32,45;true;true
7;2022-01-07;1;8;14,24,15,45;16,34,25,12;true;true
8;2022-01-08;2;3;40,25,19,28;16,12,32,17;true;true
9;2022-01-09;2;4;19,32,14,46;36,23,25,32;true;true
10;2022-01-10;2;5;44,33,18,19;20,15,43,35;true;true
11;2022-01-11;2;6;25,22,37,13;48,46,30,25;true;true
12;2022-01-12;2;7;17,24,32,45;29,46,32,18;true;true
13;2022-01-13;2;8;13,29,21,38;15,49,17,34;true;true
14;2022-01-14;3;4;47,31,45,14;47,41,33,46;true;true
15;2022-01-15;3;5;22,18,46,33;35,27,47,42;true;true
16;2022-01-16;3;6;13,36,45,41;13,20,14,48;true;true
17;2022-01-17;3;7;40,18,32,19;33,12,28,40;true;true
18;2022-01-18;3;8;12,26,18,47;13,32,14,37;true;true
19;2022-01-19;4;5;15,41,24,37;24,46,34,28;true;true
20;2022-01-20;4;6;35,39,16,29;48,32,41,25;true;true
21;2022-01-21;4;7;17,29,46,13;48,44,21,18;true;true
22;2022-01-22;4;8;29,48,44,21;18,45,16,22;true;true
23;2022-01-23;5;6;21,39,14,31;37,47,19,20;true;true
24;2022-01-24;5;7;32,44,13,23;17,38,16,24;true;true
25;2022-01-25;5;8;23,46,41,25;33,17,48,31;true;true
26;2022-01-26;6;7;19,29,32,26;14,36,27,47;true;true
27;2022-01-27;6;8;17,41,47,12;38,49,47,45;true;true
28;2022-01-28;7;8;38,32,45,22;33,28,42,19;true;true
29;2022-06-01;8;7;30,15,44,28;36,29,18,45;true;true
30;2022-06-02;8;6;42,48,16,39;43,19,22,13;true;true
31;2022-06-03;8;5;29,24,42,47;26,44,20,16;true;true
32;2022-06-04;8;4;33,18,16,40;11,13,22,30;true;true
33;2022-06-05;8;3;17,21,45,35;32,28,18,24;true;true
34;2022-06-06;8;2;35,20,19,44;43,11,47,31;true;true
35;2022-06-07;8;1;46,42,16,28;32,25,26,15;true;true
36;2022-06-08;7;6;45,16,12,25;14,48,11,13;true;true
37;2022-06-09;7;5;46,44,36,25;43,15,31,40;true;true
38;2022-06-10;7;4;30,13,43,20;22,18,45,32;true;true
39;2022-06-11;7;3;29,41,14,34;25,18,39,27;true;true
40;2022-06-12;7;2;39,46,23,29;12,31,17,45;true;true
41;2022-06-13;7;1;13,44,16,19;27,21,18,40;true;true
42;2022-06-14;6;5;38,33,19,16;23,48,20,30;true;true
43;2022-06-15;6;4;45,25,21,32;15,14,39,24;true;true
44;2022-06-16;6;3;21,40,23,17;39,19,13,31;true;true
45;2022-06-17;6;2;47,15,35,25;42,19,29,46;true;true
46;2022-06-18;6;1;40,31,18,16;42,34,25,19;true;true
47;2022-06-19;5;4;42,39,27,28;33,17,12,21;true;true
48;2022-06-20;5;3;27,15,35,20;28,11,45,21;true;true
49;2022-06-21;5;2;13,36,19,46;20,31,33,29;true;true
50;2022-06-22;5;1;16,44,32,39;21,15,33,38;true;true
51;2022-06-23;4;3;20,48,36,15;38,29,43,41;true;true
52;2022-06-24;4;2;48,44,15,25;22,37,27,29;true;true
53;2022-06-25;4;1;18,46,12,31;27,20,26,15;true;true
54;2022-06-26;3;2;47,39,36,27;26,34,13,38;true;true
55;2022-06-27;3;1;19,35,21,46;45,27,14,37;true;true
56;2022-06-28;2;1;16,21,30,44;33,13,22,28;true;true
